id,user,count,link
14,新疆师范大学,82,https://weibo.com/576777786?refer_flag=1001030201_
3,新疆日报,81,https://weibo.com/u/2308711425?refer_flag=1001030201_
4,新疆音乐广播MYFM1039,80,https://weibo.com/myfm1039?refer_flag=1001030201_
5,新疆经济报,80,https://weibo.com/u/2097319971?refer_flag=1001030201_
15,亚心网,80,https://weibo.com/u/1900739345?refer_flag=1001030201_
23,先锋961,80,https://weibo.com/961news?refer_flag=1001030201_
41,新疆教育电视台,80,https://weibo.com/u/2816802163?refer_flag=1001030201_
84,新疆交通职业技术学院,80,https://weibo.com/u/2741184220?refer_flag=1001030201_
89,新疆艺术学院团委学生会,80,https://weibo.com/u/3274557643?refer_flag=1001030201_
176,新艺文管系,80,https://weibo.com/u/2416671942?refer_flag=1001030201_
1,直播新疆,79,https://weibo.com/zhiboxinjiang0991?refer_flag=1001030201_
2,新疆949交通广播,79,https://weibo.com/u/1905734375?refer_flag=1001030201_
7,新疆电视台直播民生,79,https://weibo.com/u/2214814343?refer_flag=1001030201_
11,新疆故事广播,79,https://weibo.com/1028storyradio?refer_flag=1001030201_
31,新疆财经大学商务学院团委学生会,79,https://weibo.com/u/2458025170?refer_flag=1001030201_
60,新疆大学志愿者总队,79,https://weibo.com/u/1882413823?refer_flag=1001030201_
116,新疆大学纺织与服装学院分团委,79,https://weibo.com/u/2520275021?refer_flag=1001030201_
126,兵团广播电视台,79,https://weibo.com/u/3767561485?refer_flag=1001030201_
128,阿克苏新闻网,79,https://weibo.com/aksxww?refer_flag=1001030201_
130,哈密电视台新闻部,79,https://weibo.com/hmdstxwb?refer_flag=1001030201_
131,昌吉电视台,79,https://weibo.com/378919839?refer_flag=1001030201_
6,新疆法制报,78,https://weibo.com/u/1615980787?refer_flag=1001030201_
27,彩虹映天山,78,https://weibo.com/u/2474179002?refer_flag=1001030201_
53,新疆农业大学科学技术学院团委,78,https://weibo.com/u/2690497991?refer_flag=1001030201_
153,xjtv新闻中心哈萨克语,78,https://weibo.com/u/2550106294?refer_flag=1001030201_
165,新疆师范大学化学化工学院,78,https://weibo.com/u/2802771467?refer_flag=1001030201_
0,新疆都市消费晨报,77,https://weibo.com/cb8801111?refer_flag=1001030201_
16,新疆大学,77,https://weibo.com/u/3835965033
50,新疆工程学院,77,https://weibo.com/u/1596026921?refer_flag=1001030201_
58,新疆大学棒垒球队,77,https://weibo.com/xjbaseball?refer_flag=1001030201_
137,乌昌之声音乐广播,77,https://weibo.com/xjfm1033?refer_flag=1001030201_
154,新疆1074文艺广播,77,https://weibo.com/u/2168771397?refer_flag=1001030201_
156,奎屯新闻,77,https://weibo.com/u/2770204392?refer_flag=1001030201_
13,新疆医科大学,76,https://weibo.com/xjykdx?refer_flag=1001030201_
45,新疆农业大学管理学院,76,https://weibo.com/xndglxytw?refer_flag=1001030201_
61,新疆财经大学青年志愿者协会,76,https://weibo.com/u/2919100917?refer_flag=1001030201_
63,虎鱼网,76,https://weibo.com/xjtvs?refer_flag=1001030201_
77,新疆维吾尔语综合广播,76,https://weibo.com/weiyuzonghe?refer_flag=1001030201_
102,新疆医科大学励志讲坛,76,https://weibo.com/xjmulzjt?refer_flag=1001030201_
111,新疆师范大学研究生会,76,https://weibo.com/xjsfdxyjh?refer_flag=1001030201_
113,新疆师范大学文学院学生会,76,https://weibo.com/u/3891319964?refer_flag=1001030201_
123,新疆大学旅游协会,76,https://weibo.com/u/3006128035?refer_flag=1001030201_
151,XJTV2那哇栏目组,76,https://weibo.com/qarluqnava?refer_flag=1001030201_
35,新疆大学研究生会,75,https://weibo.com/u/3235726540?refer_flag=1001030201_
59,新疆924民生广播,75,https://weibo.com/u/3236711832?refer_flag=1001030201_
68,新疆警察学院记者团,75,https://weibo.com/u/3166607782?refer_flag=1001030201_
85,新疆天山职业技术学院,75,https://weibo.com/u/2742880080?refer_flag=1001030201_
92,新疆农业大学志愿者协会,75,https://weibo.com/u/2797284182?refer_flag=1001030201_
99,新疆师范大学社团联合会,75,https://weibo.com/u/3004537701?refer_flag=1001030201_
127,博尔塔拉报,75,https://weibo.com/u/2837359911?refer_flag=1001030201_
142,奎屯电台1019,75,https://weibo.com/kgjtzs?refer_flag=1001030201_
175,新疆大学电气工程学院分团委,75,https://weibo.com/u/2413742210?refer_flag=1001030201_
10,新疆农业大学,74,https://weibo.com/u/2288158082?refer_flag=1001030201_
25,围观新疆,74,https://weibo.com/u/1691932351?refer_flag=1001030201_
30,新疆财经大学学生会,74,https://weibo.com/u/2730151522?refer_flag=1001030201_
36,新疆大学学生社团联合会,74,https://weibo.com/u/2348985917?refer_flag=1001030201_
51,新疆卫视今日聚焦,74,https://weibo.com/u/1701210897?refer_flag=1001030201_
